RaceId,DriverId,Stops,Year,Race,No,DriverName,Code,Car,Lap,TimeOfDay,Time,Total
258,100,1,1994,pacific,20,Erik Comas,COM,Larrousse Ford,1,14:01:34,49.111,49.111
258,79,1,1994,pacific,3,Ukyo Katayama,KAT,Tyrrell Yamaha,17,14:20:46,28.482,28.482
258,57,1,1994,pacific,7,Mika Hakkinen,HAK,McLaren Peugeot,18,14:22:35,43.745,43.745
258,71,1,1994,pacific,0,Damon Hill,HIL,Williams Renault,18,14:23:00,21.992,21.992
258,105,1,1994,pacific,24,Michele Alboreto,ALB,Minardi Ford,19,14:24:39,27.693,27.693
258,91,1,1994,pacific,29,Karl Wendlinger,WEN,Sauber Mercedes,19,14:24:41,24.806,24.806
258,44,1,1994,pacific,26,Olivier Panis,PAN,Ligier Renault,18,14:25:13,53.89,53.890
258,94,1,1994,pacific,23,Pierluigi Martini,MAR,Minardi Ford,22,14:28:34,34.437,34.437
258,30,1,1994,pacific,5,Michael Schumacher,MSC,Benetton Ford,23,14:28:40,23.342,23.342
258,104,1,1994,pacific,9,Christian Fittipaldi,FIT,Footwork Ford,23,14:29:00,56.753,56.753
258,50,1,1994,pacific,6,Jos Verstappen,VER,Benetton Ford,24,14:29:34,24.689,24.689
258,49,1,1994,pacific,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,24,14:30:50,26.081,26.081
258,103,1,1994,pacific,25,Eric Bernard,BER,Ligier Renault,24,14:31:46,24.9,24.900
258,88,1,1994,pacific,15,Aguri Suzuki,SUZ,Jordan Hart,26,14:33:57,27.417,27.417
258,77,1,1994,pacific,28,Gerhard Berger,BER,Ferrari,27,14:34:28,24.334,24.334
258,84,1,1994,pacific,8,Martin Brundle,BRU,McLaren Peugeot,27,14:34:33,30.57,30.570
258,81,1,1994,pacific,10,Gianni Morbidelli,MOR,Footwork Ford,28,14:34:50,27.201,27.201
258,107,1,1994,pacific,32,Roland Ratzenberger,RAT,Simtek Ford,27,14:35:13,29.481,29.481
258,65,1,1994,pacific,12,Johnny Herbert,HER,Lotus Mugen Honda,27,14:35:44,25.154,25.154
258,22,1,1994,pacific,14,Rubens Barrichello,BAR,Jordan Hart,31,14:39:42,26.15,26.150
258,83,1,1994,pacific,11,Pedro Lamy,LAM,Lotus Mugen Honda,30,14:39:47,27.335,27.335
258,79,2,1994,pacific,3,Ukyo Katayama,KAT,Tyrrell Yamaha,38,14:49:46,27.961,56.443
258,100,2,1994,pacific,20,Erik Comas,COM,Larrousse Ford,39,14:50:32,23.841,1:12.952
258,71,2,1994,pacific,0,Damon Hill,HIL,Williams Renault,42,14:53:38,21.411,43.403
258,44,2,1994,pacific,26,Olivier Panis,PAN,Ligier Renault,39,14:53:56,24.235,1:18.125
258,105,2,1994,pacific,24,Michele Alboreto,ALB,Minardi Ford,42,14:54:52,22.694,50.387
258,104,2,1994,pacific,9,Christian Fittipaldi,FIT,Footwork Ford,46,14:59:31,25.039,1:21.792
258,91,2,1994,pacific,29,Karl Wendlinger,WEN,Sauber Mercedes,48,15:02:35,26.491,51.297
258,30,2,1994,pacific,5,Michael Schumacher,MSC,Benetton Ford,51,15:04:18,24.181,47.523
258,94,2,1994,pacific,23,Pierluigi Martini,MAR,Minardi Ford,51,15:06:42,26.896,1:01.333
258,84,2,1994,pacific,8,Martin Brundle,BRU,McLaren Peugeot,53,15:07:00,24.524,55.094
258,81,2,1994,pacific,10,Gianni Morbidelli,MOR,Footwork Ford,53,15:07:26,26.23,53.431
258,50,2,1994,pacific,6,Jos Verstappen,VER,Benetton Ford,54,15:09:39,23.846,48.535
258,77,2,1994,pacific,28,Gerhard Berger,BER,Ferrari,57,15:11:53,23.066,47.400
258,107,2,1994,pacific,32,Roland Ratzenberger,RAT,Simtek Ford,54,15:12:33,29.39,58.871
258,49,2,1994,pacific,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,56,15:12:37,26.863,52.944
258,65,2,1994,pacific,12,Johnny Herbert,HER,Lotus Mugen Honda,55,15:13:06,47.273,1:12.427
258,83,2,1994,pacific,11,Pedro Lamy,LAM,Lotus Mugen Honda,58,15:17:47,25.566,52.901
258,22,2,1994,pacific,14,Rubens Barrichello,BAR,Jordan Hart,63,15:19:47,33.985,1:00.135
258,44,3,1994,pacific,26,Olivier Panis,PAN,Ligier Renault,59,15:20:32,25.894,1:44.019
258,105,3,1994,pacific,24,Michele Alboreto,ALB,Minardi Ford,63,15:22:17,24.276,1:14.663
259,30,1,1994,san-marino,5,Michael Schumacher,MSC,Benetton Ford,8,14:11:23,22.226,22.226
259,110,1,1994,san-marino,15,Andrea de Cesaris,DEC,Jordan Hart,10,14:13:25,25.751,25.751
259,77,1,1994,san-marino,28,Gerhard Berger,BER,Ferrari,11,14:14:16,20.219,20.219
259,65,1,1994,san-marino,12,Johnny Herbert,HER,Lotus Mugen Honda,11,14:14:51,21.721,21.721
259,57,1,1994,san-marino,7,Mika Hakkinen,HAK,McLaren Peugeot,15,14:20:09,21.705,21.705
259,87,1,1994,san-marino,4,Mark Blundell,BLU,Tyrrell Yamaha,15,14:20:33,23.713,23.713
259,103,1,1994,san-marino,25,Eric Bernard,BER,Ligier Renault,15,14:20:55,55.371,55.371
259,92,1,1994,san-marino,34,Bertrand Gachot,GAC,Pacific Ilmor,15,14:21:12,37.006,37.006
259,81,1,1994,san-marino,10,Gianni Morbidelli,MOR,Footwork Ford,16,14:21:45,25.398,25.398
259,79,1,1994,san-marino,3,Ukyo Katayama,KAT,Tyrrell Yamaha,16,14:23:11,22.256,22.256
259,44,1,1994,san-marino,26,Olivier Panis,PAN,Ligier Renault,17,14:23:48,21.326,21.326
259,104,1,1994,san-marino,9,Christian Fittipaldi,FIT,Footwork Ford,18,14:24:39,21.193,21.193
259,94,1,1994,san-marino,23,Pierluigi Martini,MAR,Minardi Ford,18,14:24:53,23.669,23.669
259,49,1,1994,san-marino,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,19,14:26:22,24.356,24.356
259,105,1,1994,san-marino,24,Michele Alboreto,ALB,Minardi Ford,22,14:31:25,24.607,24.607
259,78,1,1994,san-marino,27,Nicola Larini,LAR,Ferrari,25,14:34:34,23.539,23.539
259,49,2,1994,san-marino,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,25,14:35:26,37.857,1:02.213
259,30,2,1994,san-marino,5,Michael Schumacher,MSC,Benetton Ford,26,14:35:51,20.358,42.584
259,94,2,1994,san-marino,23,Pierluigi Martini,MAR,Minardi Ford,28,14:40:05,50.388,1:14.057
259,44,2,1994,san-marino,26,Olivier Panis,PAN,Ligier Renault,27,14:40:36,23.308,44.634
259,110,2,1994,san-marino,15,Andrea de Cesaris,DEC,Jordan Hart,31,14:44:50,22.262,48.013
259,91,1,1994,san-marino,29,Karl Wendlinger,WEN,Sauber Mercedes,32,14:45:15,22.260,22.260
259,65,2,1994,san-marino,12,Johnny Herbert,HER,Lotus Mugen Honda,32,14:46:24,20.800,42.521
259,57,2,1994,san-marino,7,Mika Hakkinen,HAK,McLaren Peugeot,33,14:46:37,20.763,42.468
259,103,2,1994,san-marino,25,Eric Bernard,BER,Ligier Renault,33,14:48:32,23.291,1:18.662
259,71,1,1994,san-marino,0,Damon Hill,HIL,Williams Renault,33,14:48:39,21.532,21.532
259,84,1,1994,san-marino,8,Martin Brundle,BRU,McLaren Peugeot,35,14:49:56,37.899,37.899
259,81,2,1994,san-marino,10,Gianni Morbidelli,MOR,Footwork Ford,36,14:51:08,23.392,48.790
259,104,2,1994,san-marino,9,Christian Fittipaldi,FIT,Footwork Ford,38,14:53:59,22.823,44.016
259,79,2,1994,san-marino,3,Ukyo Katayama,KAT,Tyrrell Yamaha,37,14:54:00,22.107,44.363
259,49,3,1994,san-marino,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,39,14:56:01,20.493,1:22.706
259,30,3,1994,san-marino,5,Michael Schumacher,MSC,Benetton Ford,40,14:56:04,15.946,58.530
259,103,3,1994,san-marino,25,Eric Bernard,BER,Ligier Renault,38,14:56:34,1:09.764,2:28.426
259,105,2,1994,san-marino,24,Michele Alboreto,ALB,Minardi Ford,41,15:01:28,23.740,48.347
261,103,1,1994,spain,25,Eric Bernard,BER,Ligier Renault,8,14:10:57,33.230,33.230
261,57,1,1994,spain,7,Mika Hakkinen,HAK,McLaren Peugeot,16,14:21:51,32.864,32.864
261,14,1,1994,spain,2,David Coulthard,COU,Williams Renault,17,14:23:36,1:27.166,1:27.166
261,77,1,1994,spain,28,Gerhard Berger,BER,Ferrari,17,14:23:52,32.588,32.588
261,84,1,1994,spain,8,Martin Brundle,BRU,McLaren Peugeot,18,14:25:07,38.584,38.584
261,100,1,1994,spain,20,Erik Comas,COM,Larrousse Ford,18,14:25:10,38.183,38.183
261,109,1,1994,spain,6,Jyrki Jarvilehto,JAR,Benetton Ford,19,14:26:34,33.778,33.778
261,56,1,1994,spain,15,Eddie Irvine,IRV,Jordan Hart,19,14:26:36,37.599,37.599
261,55,1,1994,spain,27,Jean Alesi,ALE,Ferrari,20,14:28:02,35.390,35.390
261,87,1,1994,spain,4,Mark Blundell,BLU,Tyrrell Yamaha,20,14:28:06,35.950,35.950
261,94,1,1994,spain,23,Pierluigi Martini,MAR,Minardi Ford,20,14:28:38,34.701,34.701
261,44,1,1994,spain,26,Olivier Panis,PAN,Ligier Renault,20,14:28:53,34.216,34.216
261,30,1,1994,spain,5,Michael Schumacher,MSC,Benetton Ford,22,14:30:17,37.571,37.571
261,65,1,1994,spain,12,Johnny Herbert,HER,Lotus Mugen Honda,21,14:30:18,37.228,37.228
261,22,1,1994,spain,14,Rubens Barrichello,BAR,Jordan Hart,22,14:31:04,51.350,51.350
261,101,1,1994,spain,31,David Brabham,BRA,Simtek Ford,22,14:32:39,40.093,40.093
261,103,2,1994,spain,25,Eric Bernard,BER,Ligier Renault,23,14:34:15,33.740,1:06.970
261,70,1,1994,spain,11,Alessandro Zanardi,ZAN,Lotus Mugen Honda,24,14:35:08,33.723,33.723
261,57,2,1994,spain,7,Mika Hakkinen,HAK,McLaren Peugeot,31,14:44:05,33.028,1:05.892
261,92,1,1994,spain,34,Bertrand Gachot,GAC,Pacific Ilmor,30,14:45:20,45.196,45.196
261,87,2,1994,spain,4,Mark Blundell,BLU,Tyrrell Yamaha,37,14:53:46,33.927,1:09.877
261,101,2,1994,spain,31,David Brabham,BRA,Simtek Ford,36,14:54:58,42.625,1:22.718
261,55,2,1994,spain,27,Jean Alesi,ALE,Ferrari,39,14:56:44,36.185,1:11.575
261,109,2,1994,spain,6,Jyrki Jarvilehto,JAR,Benetton Ford,41,14:59:11,42.301,1:16.079
261,84,2,1994,spain,8,Martin Brundle,BRU,McLaren Peugeot,41,14:59:26,36.647,1:15.231
261,71,1,1994,spain,0,Damon Hill,HIL,Williams Renault,42,15:00:20,32.748,32.748
261,44,2,1994,spain,26,Olivier Panis,PAN,Ligier Renault,41,15:01:05,34.405,1:08.621
261,56,2,1994,spain,15,Eddie Irvine,IRV,Jordan Hart,42,15:01:06,37.731,1:15.330
261,94,2,1994,spain,23,Pierluigi Martini,MAR,Minardi Ford,42,15:02:06,34.862,1:09.563
261,65,2,1994,spain,12,Johnny Herbert,HER,Lotus Mugen Honda,42,15:02:25,32.096,1:09.324
261,103,3,1994,spain,25,Eric Bernard,BER,Ligier Renault,43,15:05:03,32.800,1:39.770
261,30,2,1994,spain,5,Michael Schumacher,MSC,Benetton Ford,46,15:06:23,30.614,1:08.185
261,57,3,1994,spain,7,Mika Hakkinen,HAK,McLaren Peugeot,46,15:06:27,33.668,1:39.560
261,70,2,1994,spain,11,Alessandro Zanardi,ZAN,Lotus Mugen Honda,45,15:08:20,35.266,1:08.989
261,56,3,1994,spain,15,Eddie Irvine,IRV,Jordan Hart,49,15:12:23,1:02.740,2:18.070
261,109,3,1994,spain,6,Jyrki Jarvilehto,JAR,Benetton Ford,53,15:17:31,37.067,1:53.146
262,70,1,1994,canada,11,Alessandro Zanardi,ZAN,Lotus Mugen Honda,14,14:21:56,34.735,34.735
262,87,1,1994,canada,4,Mark Blundell,BLU,Tyrrell Yamaha,16,14:22:56,32.880,32.880
262,65,1,1994,canada,12,Johnny Herbert,HER,Lotus Mugen Honda,17,14:26:05,33.429,33.429
262,79,1,1994,canada,3,Ukyo Katayama,KAT,Tyrrell Yamaha,18,14:27:31,1:03.283,1:03.283
262,57,1,1994,canada,7,Mika Hakkinen,HAK,McLaren Peugeot,18,14:27:31,34.007,34.007
262,100,1,1994,canada,20,Erik Comas,COM,Larrousse Ford,18,14:27:52,34.691,34.691
262,110,1,1994,canada,29,Andrea de Cesaris,DEC,Sauber Mercedes,20,14:30:46,37.358,37.358
262,92,1,1994,canada,34,Bertrand Gachot,GAC,Pacific Ilmor,20,14:31:44,1:07.482,1:07.482
262,22,1,1994,canada,14,Rubens Barrichello,BAR,Jordan Hart,21,14:31:59,34.881,34.881
262,77,1,1994,canada,28,Gerhard Berger,BER,Ferrari,22,14:33:29,31.817,31.817
262,103,1,1994,canada,25,Eric Bernard,BER,Ligier Renault,22,14:34:38,31.949,31.949
262,56,1,1994,canada,15,Eddie Irvine,IRV,Jordan Hart,23,14:35:08,33.688,33.688
262,81,1,1994,canada,10,Gianni Morbidelli,MOR,Footwork Ford,24,14:36:37,35.374,35.374
262,100,2,1994,canada,20,Erik Comas,COM,Larrousse Ford,27,14:42:07,36.308,1:10.999
262,106,1,1994,canada,19,Olivier Beretta,BER,Larrousse Ford,30,14:46:25,41.808,41.808
262,55,1,1994,canada,27,Jean Alesi,ALE,Ferrari,31,14:46:55,36.315,36.315
262,87,2,1994,canada,4,Mark Blundell,BLU,Tyrrell Yamaha,32,14:49:15,32.979,1:05.859
262,71,1,1994,canada,0,Damon Hill,HIL,Williams Renault,33,14:49:56,36.301,36.301
262,94,1,1994,canada,23,Pierluigi Martini,MAR,Minardi Ford,33,14:51:03,35.359,35.359
262,14,1,1994,canada,2,David Coulthard,COU,Williams Renault,34,14:52:01,36.382,36.382
262,101,1,1994,canada,31,David Brabham,BRA,Simtek Ford,33,14:52:31,38.723,38.723
262,109,1,1994,canada,6,Jyrki Jarvilehto,JAR,Benetton Ford,35,14:53:54,36.501,36.501
262,104,1,1994,canada,9,Christian Fittipaldi,FIT,Footwork Ford,36,14:55:10,39.019,39.019
262,30,1,1994,canada,5,Michael Schumacher,MSC,Benetton Ford,40,15:00:10,35.128,35.128
262,79,2,1994,canada,3,Ukyo Katayama,KAT,Tyrrell Yamaha,39,15:00:28,42.423,1:45.706
262,105,1,1994,canada,24,Michele Alboreto,ALB,Minardi Ford,39,15:00:47,35.626,35.626
262,100,3,1994,canada,20,Erik Comas,COM,Larrousse Ford,39,15:01:12,35.450,1:46.449
262,44,1,1994,canada,26,Olivier Panis,PAN,Ligier Renault,40,15:02:46,34.494,34.494
